,Deck,Count,Share,Score,Win_Percentage,Deck_links
1128,Pidgeot ex Victreebel,1,0.00%,0 - 2 - 0,0.00%,/decks/pidgeot-ex-a1a-victreebel-a1?game=POCKET&format=standard&set=A2
1129,Melmetal Greninja,1,0.00%,0 - 3 - 0,0.00%,/decks/melmetal-greninja-a1?game=POCKET&format=standard&set=A2
1130,Darkrai ex Grimer,1,0.00%,0 - 1 - 0,0.00%,/decks/darkrai-ex-a2-grimer-a1?game=POCKET&format=standard&set=A2
1131,Torterra Vespiquen,1,0.00%,0 - 1 - 0,0.00%,/decks/torterra-vespiquen-a2?game=POCKET&format=standard&set=A2
1132,Primeape Farfetch'd,1,0.00%,0 - 2 - 0,0.00%,/decks/primeape-a1a-farfetchd-a1?game=POCKET&format=standard&set=A2
1133,Exeggutor ex Tangrowth,1,0.00%,0 - 1 - 0,0.00%,/decks/exeggutor-ex-a1-tangrowth-a2?game=POCKET&format=standard&set=A2
1134,Articuno ex Gyarados ex,1,0.00%,0 - 1 - 0,0.00%,/decks/articuno-ex-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
1135,Venusaur Tangrowth,1,0.00%,0 - 1 - 0,0.00%,/decks/venusaur-a1-tangrowth-a2?game=POCKET&format=standard&set=A2
1136,Infernape ex Charizard ex,1,0.00%,0 - 1 - 0,0.00%,/decks/infernape-ex-a2-charizard-ex-a1?game=POCKET&format=standard&set=A2
1137,Celebi ex Raticate,1,0.00%,0 - 3 - 0,0.00%,/decks/celebi-ex-a1a-raticate-a1?game=POCKET&format=standard&set=A2
1138,Magcargo Moltres ex,1,0.00%,0 - 2 - 0,0.00%,/decks/magcargo-a2-moltres-ex-a1?game=POCKET&format=standard&set=A2
1139,Pachirisu ex Spiritomb,1,0.00%,0 - 1 - 0,0.00%,/decks/pachirisu-ex-spiritomb-a2?game=POCKET&format=standard&set=A2
1140,Palkia ex Omastar,1,0.00%,0 - 2 - 0,0.00%,/decks/palkia-ex-a2-omastar-a1?game=POCKET&format=standard&set=A2
1141,Mamoswine Omastar,1,0.00%,0 - 1 - 0,0.00%,/decks/mamoswine-a2-omastar-a1?game=POCKET&format=standard&set=A2
1142,Articuno ex Regice,1,0.00%,0 - 1 - 0,0.00%,/decks/articuno-ex-a1-regice-a2?game=POCKET&format=standard&set=A2
1143,Mew ex Druddigon,1,0.00%,0 - 2 - 0,0.00%,/decks/mew-ex-druddigon-a1a?game=POCKET&format=standard&set=A2
1144,Lickilicky ex Lopunny,1,0.00%,0 - 2 - 0,0.00%,/decks/lickilicky-ex-lopunny-a2?game=POCKET&format=standard&set=A2
1145,Sandslash Kabutops,1,0.00%,0 - 1 - 0,0.00%,/decks/sandslash-kabutops-a1?game=POCKET&format=standard&set=A2
1146,Aerodactyl ex Gallade ex,1,0.00%,0 - 1 - 0,0.00%,/decks/aerodactyl-ex-a1a-gallade-ex-a2?game=POCKET&format=standard&set=A2
1147,Electrode Magnezone,1,0.00%,0 - 2 - 0,0.00%,/decks/electrode-a1-magnezone-a2?game=POCKET&format=standard&set=A2
1148,Machamp ex Dusknoir,1,0.00%,0 - 1 - 0,0.00%,/decks/machamp-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
1149,Alakazam,1,0.00%,0 - 2 - 0,0.00%,/decks/alakazam-a1?game=POCKET&format=standard&set=A2
1150,Electrode Pachirisu ex,1,0.00%,0 - 3 - 0,0.00%,/decks/electrode-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
1151,Greninja Magneton,1,0.00%,0 - 2 - 0,0.00%,/decks/greninja-magneton-a1?game=POCKET&format=standard&set=A2
1152,Luxray Spiritomb,1,0.00%,0 - 2 - 0,0.00%,/decks/luxray-spiritomb-a2?game=POCKET&format=standard&set=A2
1153,Lucario Sandslash,1,0.00%,0 - 3 - 0,0.00%,/decks/lucario-a2-sandslash-a1?game=POCKET&format=standard&set=A2
1154,Exeggutor ex Farfetch'd,1,0.00%,0 - 2 - 0,0.00%,/decks/exeggutor-ex-farfetchd-a1?game=POCKET&format=standard&set=A2
1155,Gengar ex Sigilyph,1,0.00%,0 - 2 - 0,0.00%,/decks/gengar-ex-a1-sigilyph-a1a?game=POCKET&format=standard&set=A2
1156,Venusaur ex Spiritomb,1,0.00%,0 - 2 - 0,0.00%,/decks/venusaur-ex-a1-spiritomb-a2?game=POCKET&format=standard&set=A2
1157,Zapdos ex Zebstrika,1,0.00%,0 - 4 - 0,0.00%,/decks/zapdos-ex-zebstrika-a1?game=POCKET&format=standard&set=A2
1158,Magnezone Hitmonchan,1,0.00%,0 - 2 - 0,0.00%,/decks/magnezone-a2-hitmonchan-a1?game=POCKET&format=standard&set=A2
1159,Wigglytuff ex Frosmoth,1,0.00%,0 - 3 - 0,0.00%,/decks/wigglytuff-ex-frosmoth-a1?game=POCKET&format=standard&set=A2
1160,Pachirisu ex Jolteon,1,0.00%,0 - 2 - 0,0.00%,/decks/pachirisu-ex-a2-jolteon-a1?game=POCKET&format=standard&set=A2
1161,Gyarados ex Kangaskhan,1,0.00%,0 - 2 - 0,0.00%,/decks/gyarados-ex-a1a-kangaskhan-a1?game=POCKET&format=standard&set=A2
1162,Yanmega ex Purugly,1,0.00%,0 - 2 - 0,0.00%,/decks/yanmega-ex-purugly-a2?game=POCKET&format=standard&set=A2
1163,Marowak ex Kangaskhan,1,0.00%,0 - 2 - 0,0.00%,/decks/marowak-ex-kangaskhan-a1?game=POCKET&format=standard&set=A2
1164,Flareon Druddigon,1,0.00%,0 - 2 - 0,0.00%,/decks/flareon-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
1165,Mew ex Celebi ex,1,0.00%,0 - 3 - 0,0.00%,/decks/mew-ex-celebi-ex-a1a?game=POCKET&format=standard&set=A2
1166,Yanmega ex Salazzle,1,0.00%,0 - 4 - 0,0.00%,/decks/yanmega-ex-a2-salazzle-a1a?game=POCKET&format=standard&set=A2
1167,Skarmory Wormadam,1,0.00%,0 - 2 - 0,0.00%,/decks/skarmory-wormadam-a2?game=POCKET&format=standard&set=A2
1168,Empoleon Manaphy,1,0.00%,0 - 2 - 0,0.00%,/decks/empoleon-manaphy-a2?game=POCKET&format=standard&set=A2
1169,Pidgeot ex Staraptor,1,0.00%,0 - 1 - 0,0.00%,/decks/pidgeot-ex-a1a-staraptor-a2?game=POCKET&format=standard&set=A2
1170,Venusaur ex Victreebel,1,0.00%,0 - 3 - 0,0.00%,/decks/venusaur-ex-victreebel-a1?game=POCKET&format=standard&set=A2
1171,Lapras ex Magnezone,1,0.00%,0 - 1 - 0,0.00%,/decks/lapras-ex-p-a-magnezone-a2?game=POCKET&format=standard&set=A2
1172,Luxray Dedenne,1,0.00%,0 - 3 - 1,0.00%,/decks/luxray-a2-dedenne-a1a?game=POCKET&format=standard&set=A2
1173,Venusaur Butterfree,1,0.00%,0 - 1 - 0,0.00%,/decks/venusaur-butterfree-a1?game=POCKET&format=standard&set=A2
1174,Garchomp Rotom,1,0.00%,0 - 1 - 0,0.00%,/decks/garchomp-rotom-a2?game=POCKET&format=standard&set=A2
1175,Dialga ex Wigglytuff,1,0.00%,0 - 2 - 0,0.00%,/decks/dialga-ex-a2-wigglytuff-a1?game=POCKET&format=standard&set=A2
1176,Ninetales Centiskorch,1,0.00%,0 - 2 - 0,0.00%,/decks/ninetales-centiskorch-a1?game=POCKET&format=standard&set=A2
1177,Gallade ex Marshadow,1,0.00%,0 - 2 - 0,0.00%,/decks/gallade-ex-a2-marshadow-a1a?game=POCKET&format=standard&set=A2
1178,Gardevoir Mesprit,1,0.00%,0 - 3 - 0,0.00%,/decks/gardevoir-a1-mesprit-a2?game=POCKET&format=standard&set=A2
1179,Rotom,1,0.00%,0 - 2 - 0,0.00%,/decks/rotom-a2?game=POCKET&format=standard&set=A2
1180,Celebi ex Jolteon,1,0.00%,0 - 2 - 0,0.00%,/decks/celebi-ex-a1a-jolteon-a1?game=POCKET&format=standard&set=A2
1181,Beedrill Victreebel,1,0.00%,0 - 4 - 0,0.00%,/decks/beedrill-victreebel-a1?game=POCKET&format=standard&set=A2
1182,Garchomp Golduck,1,0.00%,0 - 2 - 0,0.00%,/decks/garchomp-a2-golduck-a1?game=POCKET&format=standard&set=A2
1183,Porygon-Z Magnezone,1,0.00%,0 - 1 - 0,0.00%,/decks/porygon-z-magnezone-a2?game=POCKET&format=standard&set=A2
1184,Moltres ex Rapidash,1,0.00%,0 - 3 - 0,0.00%,/decks/moltres-ex-rapidash-a1?game=POCKET&format=standard&set=A2
1185,Gyarados ex Lapras,1,0.00%,0 - 2 - 0,0.00%,/decks/gyarados-ex-a1a-lapras-a1?game=POCKET&format=standard&set=A2
1186,Eelektross Raichu,1,0.00%,0 - 1 - 0,0.00%,/decks/eelektross-raichu-a1?game=POCKET&format=standard&set=A2
1187,Roserade Leafeon,1,0.00%,0 - 1 - 0,0.00%,/decks/roserade-leafeon-a2?game=POCKET&format=standard&set=A2
1188,Pidgeot ex Primeape,1,0.00%,0 - 2 - 0,0.00%,/decks/pidgeot-ex-a1a-primeape-a1?game=POCKET&format=standard&set=A2
1189,Mamoswine Floatzel,1,0.00%,0 - 1 - 0,0.00%,/decks/mamoswine-floatzel-a2?game=POCKET&format=standard&set=A2
1190,Skuntank Scolipede,1,0.00%,0 - 1 - 0,0.00%,/decks/skuntank-a2-scolipede-a1a?game=POCKET&format=standard&set=A2
1191,Gengar ex Alakazam,1,0.00%,0 - 3 - 0,0.00%,/decks/gengar-ex-alakazam-a1?game=POCKET&format=standard&set=A2
1192,Roserade Lopunny,1,0.00%,0 - 2 - 0,0.00%,/decks/roserade-lopunny-a2?game=POCKET&format=standard&set=A2
1193,Luxray Magneton,1,0.00%,0 - 2 - 0,0.00%,/decks/luxray-a2-magneton-a1?game=POCKET&format=standard&set=A2
1194,Pidgeot ex Starmie ex,1,0.00%,0 - 2 - 0,0.00%,/decks/pidgeot-ex-a1a-starmie-ex-a1?game=POCKET&format=standard&set=A2
1195,Poliwrath Manaphy,1,0.00%,0 - 3 - 0,0.00%,/decks/poliwrath-a1-manaphy-a2?game=POCKET&format=standard&set=A2
1196,Dialga ex Magneton,1,0.00%,0 - 1 - 0,0.00%,/decks/dialga-ex-a2-magneton-a1?game=POCKET&format=standard&set=A2
1197,Scolipede Drapion,1,0.00%,0 - 2 - 0,0.00%,/decks/scolipede-a1a-drapion-a2?game=POCKET&format=standard&set=A2
1198,Dialga ex Celebi ex,1,0.00%,0 - 3 - 0,0.00%,/decks/dialga-ex-a2-celebi-ex-a1a?game=POCKET&format=standard&set=A2
1199,Primeape Rhyperior,1,0.00%,0 - 1 - 0,0.00%,/decks/primeape-a1a-rhyperior-a2?game=POCKET&format=standard&set=A2
1200,Garchomp Primeape,1,0.00%,0 - 1 - 0,0.00%,/decks/garchomp-a2-primeape-a1a?game=POCKET&format=standard&set=A2
1201,Cresselia ex Cresselia,1,0.00%,0 - 1 - 0,0.00%,/decks/cresselia-ex-p-a-cresselia-a2?game=POCKET&format=standard&set=A2
1202,Alakazam Spiritomb,1,0.00%,0 - 1 - 0,0.00%,/decks/alakazam-a1-spiritomb-a2?game=POCKET&format=standard&set=A2
1203,Magcargo Hypno,1,0.00%,0 - 1 - 0,0.00%,/decks/magcargo-a2-hypno-a1?game=POCKET&format=standard&set=A2
1204,Greninja Honchkrow,1,0.00%,0 - 2 - 0,0.00%,/decks/greninja-a1-honchkrow-a2?game=POCKET&format=standard&set=A2
1205,Rhyperior Onix,1,0.00%,0 - 2 - 0,0.00%,/decks/rhyperior-a2-onix-a1?game=POCKET&format=standard&set=A2
1206,Starmie ex Garchomp,1,0.00%,0 - 1 - 0,0.00%,/decks/starmie-ex-a1-garchomp-a2?game=POCKET&format=standard&set=A2
1207,Alakazam Mewtwo ex,1,0.00%,0 - 3 - 2,0.00%,/decks/alakazam-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
1208,Darkrai ex Ambipom,1,0.00%,0 - 1 - 0,0.00%,/decks/darkrai-ex-ambipom-a2?game=POCKET&format=standard&set=A2
1209,Scolipede Honchkrow,1,0.00%,0 - 2 - 0,0.00%,/decks/scolipede-a1a-honchkrow-a2?game=POCKET&format=standard&set=A2
1210,Serperior Yanmega ex,1,0.00%,0 - 2 - 0,0.00%,/decks/serperior-a1a-yanmega-ex-a2?game=POCKET&format=standard&set=A2
1211,Gengar ex Azelf,1,0.00%,0 - 2 - 0,0.00%,/decks/gengar-ex-a1-azelf-a2?game=POCKET&format=standard&set=A2
1212,Lickilicky ex Ambipom,1,0.00%,0 - 2 - 0,0.00%,/decks/lickilicky-ex-ambipom-a2?game=POCKET&format=standard&set=A2
1213,Bastiodon Shaymin,1,0.00%,0 - 2 - 0,0.00%,/decks/bastiodon-shaymin-a2?game=POCKET&format=standard&set=A2
1214,Rampardos Spiritomb,1,0.00%,0 - 2 - 0,0.00%,/decks/rampardos-spiritomb-a2?game=POCKET&format=standard&set=A2
1215,Arcanine ex Magnezone,1,0.00%,0 - 1 - 0,0.00%,/decks/arcanine-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
1216,Celebi ex Lilligant,1,0.00%,0 - 3 - 0,0.00%,/decks/celebi-ex-a1a-lilligant-a1?game=POCKET&format=standard&set=A2
1217,Skuntank Toxicroak,1,0.00%,0 - 2 - 0,0.00%,/decks/skuntank-toxicroak-a2?game=POCKET&format=standard&set=A2
1218,Exeggutor ex Ivysaur,1,0.00%,0 - 1 - 0,0.00%,/decks/exeggutor-ex-ivysaur-a1?game=POCKET&format=standard&set=A2
1219,Raichu Pachirisu ex,1,0.00%,0 - 2 - 0,0.00%,/decks/raichu-a1a-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
1220,Aerodactyl ex Pachirisu ex,1,0.00%,0 - 2 - 0,0.00%,/decks/aerodactyl-ex-a1a-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
1221,Garchomp Weezing,1,0.00%,0 - 3 - 0,0.00%,/decks/garchomp-a2-weezing-a1?game=POCKET&format=standard&set=A2
1222,Weavile ex Drapion,1,0.00%,0 - 1 - 0,0.00%,/decks/weavile-ex-drapion-a2?game=POCKET&format=standard&set=A2
1223,Golem Onix,1,0.00%,0 - 2 - 0,0.00%,/decks/golem-a1a-onix-a1?game=POCKET&format=standard&set=A2
1224,Vaporeon Mew ex,1,0.00%,0 - 2 - 0,0.00%,/decks/vaporeon-mew-ex-a1a?game=POCKET&format=standard&set=A2
1225,Dragonite Lickilicky ex,1,0.00%,0 - 2 - 0,0.00%,/decks/dragonite-a1-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
1226,Dragonite Weezing,1,0.00%,0 - 2 - 0,0.00%,/decks/dragonite-weezing-a1?game=POCKET&format=standard&set=A2
1227,Lickilicky ex Rampardos,1,0.00%,0 - 3 - 0,0.00%,/decks/lickilicky-ex-rampardos-a2?game=POCKET&format=standard&set=A2
1228,Marowak ex Primeape,1,0.00%,0 - 3 - 0,0.00%,/decks/marowak-ex-a1-primeape-a1a?game=POCKET&format=standard&set=A2
1229,Arcanine ex Pidgeot,1,0.00%,0 - 2 - 0,0.00%,/decks/arcanine-ex-pidgeot-a1?game=POCKET&format=standard&set=A2
1230,Wigglytuff ex Vaporeon,1,0.00%,0 - 1 - 0,0.00%,/decks/wigglytuff-ex-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2
1231,Wigglytuff ex Gyarados ex,1,0.00%,0 - 4 - 0,0.00%,/decks/wigglytuff-ex-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
1232,Starmie ex Alakazam,1,0.00%,0 - 1 - 0,0.00%,/decks/starmie-ex-alakazam-a1?game=POCKET&format=standard&set=A2
1233,Togekiss Gardevoir,1,0.00%,0 - 3 - 0,0.00%,/decks/togekiss-a2-gardevoir-a1?game=POCKET&format=standard&set=A2
1234,Dragonite Pidgeot,1,0.00%,0 - 2 - 0,0.00%,/decks/dragonite-pidgeot-a1?game=POCKET&format=standard&set=A2
1235,Roserade Serperior,1,0.00%,0 - 1 - 0,0.00%,/decks/roserade-a2-serperior-a1a?game=POCKET&format=standard&set=A2
1236,Greninja Hitmonchan,1,0.00%,0 - 1 - 0,0.00%,/decks/greninja-hitmonchan-a1?game=POCKET&format=standard&set=A2
1237,Starmie ex Empoleon,1,0.00%,0 - 1 - 0,0.00%,/decks/starmie-ex-a1-empoleon-a2?game=POCKET&format=standard&set=A2
1238,Garchomp Porygon,1,0.00%,0 - 3 - 0,0.00%,/decks/garchomp-a2-porygon-a1?game=POCKET&format=standard&set=A2
1239,Pachirisu ex Electabuzz,1,0.00%,0 - 2 - 0,0.00%,/decks/pachirisu-ex-a2-electabuzz-a1a?game=POCKET&format=standard&set=A2
1240,Abomasnow Regice,1,0.00%,0 - 1 - 0,0.00%,/decks/abomasnow-regice-a2?game=POCKET&format=standard&set=A2
1241,Toxicroak Cinccino,1,0.00%,0 - 2 - 0,0.00%,/decks/toxicroak-a2-cinccino-a1?game=POCKET&format=standard&set=A2
1242,Cresselia ex Magnezone,1,0.00%,0 - 2 - 0,0.00%,/decks/cresselia-ex-p-a-magnezone-a2?game=POCKET&format=standard&set=A2
1243,Garchomp Lopunny,1,0.00%,0 - 2 - 0,0.00%,/decks/garchomp-lopunny-a2?game=POCKET&format=standard&set=A2
1244,Dragonite Farfetch'd,1,0.00%,0 - 2 - 0,0.00%,/decks/dragonite-farfetchd-a1?game=POCKET&format=standard&set=A2
1245,Golem Giratina,1,0.00%,0 - 1 - 0,0.00%,/decks/golem-a1a-giratina-a2?game=POCKET&format=standard&set=A2
1246,Dialga ex Purugly,1,0.00%,0 - 3 - 0,0.00%,/decks/dialga-ex-purugly-a2?game=POCKET&format=standard&set=A2
1247,Greninja Cramorant,1,0.00%,0 - 2 - 0,0.00%,/decks/greninja-a1-cramorant-a1a?game=POCKET&format=standard&set=A2
1248,Magnezone Charizard ex,1,0.00%,0 - 2 - 0,0.00%,/decks/magnezone-a2-charizard-ex-a1?game=POCKET&format=standard&set=A2
1249,Luxray,1,0.00%,0 - 2 - 0,0.00%,/decks/luxray-a2?game=POCKET&format=standard&set=A2
1250,Exeggutor ex Melmetal,1,0.00%,0 - 4 - 0,0.00%,/decks/exeggutor-ex-melmetal-a1?game=POCKET&format=standard&set=A2
1251,Pidgeot ex Melmetal,1,0.00%,0 - 2 - 0,0.00%,/decks/pidgeot-ex-a1a-melmetal-a1?game=POCKET&format=standard&set=A2
1252,Magnezone Primeape,1,0.00%,0 - 1 - 0,0.00%,/decks/magnezone-a2-primeape-a1a?game=POCKET&format=standard&set=A2
1253,Regirock Lopunny,1,0.00%,0 - 2 - 0,0.00%,/decks/regirock-lopunny-a2?game=POCKET&format=standard&set=A2
1254,Gengar ex Mewtwo ex,1,0.00%,0 - 1 - 0,0.00%,/decks/gengar-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
1255,Ninetales Salazzle,1,0.00%,0 - 1 - 0,0.00%,/decks/ninetales-a1-salazzle-a1a?game=POCKET&format=standard&set=A2
1256,Weezing Scolipede,1,0.00%,0 - 2 - 0,0.00%,/decks/weezing-a1-scolipede-a1a?game=POCKET&format=standard&set=A2
1257,Greninja Vaporeon,1,0.00%,0 - 2 - 0,0.00%,/decks/greninja-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2
1258,Dusknoir Druddigon,1,0.00%,0 - 2 - 0,0.00%,/decks/dusknoir-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
1259,Pidgeot ex Venusaur ex,1,0.00%,0 - 2 - 0,0.00%,/decks/pidgeot-ex-a1a-venusaur-ex-a1?game=POCKET&format=standard&set=A2
1260,Shaymin Druddigon,1,0.00%,0 - 1 - 0,0.00%,/decks/shaymin-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
1261,Palkia ex Kingler,1,0.00%,0 - 2 - 0,0.00%,/decks/palkia-ex-a2-kingler-a1?game=POCKET&format=standard&set=A2
1262,Infernape ex Jolteon,1,0.00%,0 - 2 - 0,0.00%,/decks/infernape-ex-a2-jolteon-a1?game=POCKET&format=standard&set=A2
1263,Starmie ex Spiritomb,1,0.00%,0 - 3 - 0,0.00%,/decks/starmie-ex-a1-spiritomb-a2?game=POCKET&format=standard&set=A2
1264,Alakazam Hypno,1,0.00%,0 - 1 - 0,0.00%,/decks/alakazam-hypno-a1?game=POCKET&format=standard&set=A2
1265,Blastoise ex Omastar,1,0.00%,0 - 1 - 0,0.00%,/decks/blastoise-ex-omastar-a1?game=POCKET&format=standard&set=A2
1266,Mew ex Regigigas,1,0.00%,0 - 1 - 0,0.00%,/decks/mew-ex-a1a-regigigas-a2?game=POCKET&format=standard&set=A2
1267,Infernape ex Salazzle,1,0.00%,0 - 3 - 0,0.00%,/decks/infernape-ex-a2-salazzle-a1?game=POCKET&format=standard&set=A2
1268,Infernape ex Darkrai ex,1,0.00%,0 - 1 - 0,0.00%,/decks/infernape-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A2
1269,Dragonite Regice,1,0.00%,0 - 1 - 0,0.00%,/decks/dragonite-a1-regice-a2?game=POCKET&format=standard&set=A2
1270,Articuno ex Lumineon,1,0.00%,0 - 3 - 0,0.00%,/decks/articuno-ex-a1-lumineon-a2?game=POCKET&format=standard&set=A2
1271,Arcanine ex Aerodactyl ex,1,0.00%,0 - 3 - 0,0.00%,/decks/arcanine-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
1272,Sandslash Primeape,1,0.00%,0 - 2 - 0,0.00%,/decks/sandslash-primeape-a1?game=POCKET&format=standard&set=A2
1273,Mew ex Pachirisu ex,1,0.00%,0 - 1 - 0,0.00%,/decks/mew-ex-a1a-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
1274,Mismagius ex Staraptor,1,0.00%,0 - 2 - 0,0.00%,/decks/mismagius-ex-staraptor-a2?game=POCKET&format=standard&set=A2
1275,Celebi ex Butterfree,1,0.00%,0 - 2 - 0,0.00%,/decks/celebi-ex-a1a-butterfree-a1?game=POCKET&format=standard&set=A2
1276,Starmie ex Pidgeot ex,1,0.00%,0 - 2 - 0,0.00%,/decks/starmie-ex-a1-pidgeot-ex-a1a?game=POCKET&format=standard&set=A2
1277,Beedrill Bellossom,1,0.00%,0 - 2 - 0,0.00%,/decks/beedrill-a1-bellossom-a2?game=POCKET&format=standard&set=A2
1278,Pidgeot ex Skarmory,1,0.00%,0 - 2 - 0,0.00%,/decks/pidgeot-ex-a1a-skarmory-a2?game=POCKET&format=standard&set=A2
1279,Primeape Hitmonlee,1,0.00%,0 - 3 - 0,0.00%,/decks/primeape-hitmonlee-a1?game=POCKET&format=standard&set=A2
1280,Raichu Luxray,1,0.00%,0 - 2 - 0,0.00%,/decks/raichu-a1a-luxray-a2?game=POCKET&format=standard&set=A2
1281,Magnezone Rotom,1,0.00%,0 - 1 - 0,0.00%,/decks/magnezone-rotom-a2?game=POCKET&format=standard&set=A2
1282,Garchomp Skiddo,1,0.00%,0 - 3 - 0,0.00%,/decks/garchomp-a2-skiddo-a1?game=POCKET&format=standard&set=A2
1283,Garchomp Regice,1,0.00%,0 - 4 - 0,0.00%,/decks/garchomp-regice-a2?game=POCKET&format=standard&set=A2
1284,Marowak ex Golem,1,0.00%,0 - 2 - 0,0.00%,/decks/marowak-ex-a1-golem-a1a?game=POCKET&format=standard&set=A2
1285,Pachirisu ex Farfetch'd,1,0.00%,0 - 2 - 0,0.00%,/decks/pachirisu-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
1286,Victreebel Mew ex,1,0.00%,0 - 2 - 0,0.00%,/decks/victreebel-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
1287,Gallade ex Glameow,1,0.00%,0 - 2 - 0,0.00%,/decks/gallade-ex-glameow-a2?game=POCKET&format=standard&set=A2
1288,Bastiodon Farfetch'd,1,0.00%,0 - 2 - 0,0.00%,/decks/bastiodon-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
1289,Shiinotic Mew ex,1,0.00%,0 - 1 - 0,0.00%,/decks/shiinotic-mew-ex-a1a?game=POCKET&format=standard&set=A2
1290,Blastoise ex Glaceon,1,0.00%,0 - 2 - 0,0.00%,/decks/blastoise-ex-a1-glaceon-a2?game=POCKET&format=standard&set=A2
1291,Porygon-Z Manaphy,1,0.00%,0 - 1 - 0,0.00%,/decks/porygon-z-manaphy-a2?game=POCKET&format=standard&set=A2
1292,Magnezone Charmeleon,1,0.00%,0 - 3 - 0,0.00%,/decks/magnezone-a2-charmeleon-a1?game=POCKET&format=standard&set=A2
1293,Starmie ex Purugly,1,0.00%,0 - 2 - 0,0.00%,/decks/starmie-ex-a1-purugly-a2?game=POCKET&format=standard&set=A2
1294,Dragonite Luxray,1,0.00%,0 - 3 - 0,0.00%,/decks/dragonite-a1-luxray-a2?game=POCKET&format=standard&set=A2
1295,Garchomp Primeape,1,0.00%,0 - 2 - 0,0.00%,/decks/garchomp-a2-primeape-a1?game=POCKET&format=standard&set=A2
1296,Magnezone Snorlax,1,0.00%,0 - 0 - 0,NaN%,/decks/magnezone-a2-snorlax-a1?game=POCKET&format=standard&set=A2
1297,Wigglytuff ex Marowak ex,1,0.00%,0 - 0 - 0,NaN%,/decks/wigglytuff-ex-marowak-ex-a1?game=POCKET&format=standard&set=A2
1298,Charizard ex,1,0.00%,0 - 0 - 0,NaN%,/decks/charizard-ex-a1?game=POCKET&format=standard&set=A2
1299,Blastoise Kangaskhan,1,0.00%,0 - 0 - 0,NaN%,/decks/blastoise-kangaskhan-a1?game=POCKET&format=standard&set=A2
1300,Magnezone Pikachu,1,0.00%,0 - 0 - 0,NaN%,/decks/magnezone-a2-pikachu-a1a?game=POCKET&format=standard&set=A2
1301,Charizard Moltres,1,0.00%,0 - 0 - 0,NaN%,/decks/charizard-moltres-a1?game=POCKET&format=standard&set=A2
